text,label,Pattern Category,text_length,clean_text,UID
Experience the results our users love.,1,Social Proof,6,Experience the results our users love.,0
See why everyone is talking about our product.,1,Social Proof,8,See why everyone is talking about our product.,0
"Hurry, offer ends soon.",1,Urgency,4,"Hurry, offer ends soon.",0
Donít wait ó grab it now.,1,Urgency,6,Donít wait ó grab it now.,0
Limited time only ó act fast.,1,Urgency,6,Limited time only ó act fast.,0
Only a few left in stock.,1,Urgency,6,Only a few left in stock.,0
Sale ends today ó donít miss out.,1,Urgency,7,Sale ends today ó donít miss out.,0
Act now before itís too late.,1,Urgency,6,Act now before itís too late.,0
Last chance to claim this deal.,1,Urgency,6,Last chance to claim this deal.,0
Get it before it disappears.,1,Urgency,5,Get it before it disappears.,0
Time is running out ó hurry.,1,Urgency,6,Time is running out ó hurry.,0
Offer expires soon ó tap now.,1,Urgency,6,Offer expires soon ó tap now.,0
Only today: secure your spot.,1,Urgency,5,Only today: secure your spot.,0
Limited supply ó order quickly.,1,Urgency,5,Limited supply ó order quickly.,0
Donít miss your chance to save.,1,Urgency,6,Donít miss your chance to save.,0
Act fast to avoid disappointment.,1,Urgency,5,Act fast to avoid disappointment.,0
Final hours to grab this offer.,1,Urgency,6,Final hours to grab this offer.,0
Going fast ó claim yours now.,1,Urgency,6,Going fast ó claim yours now.,0
"Hurry, almost gone.",1,Urgency,3,"Hurry, almost gone.",0
Only a handful left ó act quickly.,1,Urgency,7,Only a handful left ó act quickly.,0
Limited availability ó tap to grab now.,1,Urgency,7,Limited availability ó tap to grab now.,0
Time-sensitive offer ó donít wait.,1,Urgency,5,Time-sensitive offer ó donít wait.,0
Secure yours before itís too late.,1,Urgency,6,Secure yours before itís too late.,0
Last few remaining ó act now.,1,Urgency,6,Last few remaining ó act now.,0
"Hurry, sale ends in hours.",1,Urgency,5,"Hurry, sale ends in hours.",0
Donít delay ó claim your deal today.,1,Urgency,7,Donít delay ó claim your deal today.,0
Act immediately to get this offer.,1,Urgency,6,Act immediately to get this offer.,0
Almost sold out ó order now.,1,Urgency,6,Almost sold out ó order now.,0
Limited stock alert ó grab yours.,1,Urgency,6,Limited stock alert ó grab yours.,0
Time is ticking ó act fast.,1,Urgency,6,Time is ticking ó act fast.,0
Offer ends soon ó tap to claim.,1,Urgency,7,Offer ends soon ó tap to claim.,0
Only a few units left today.,1,Urgency,6,Only a few units left today.,0
"Hurry, stock is running low.",1,Urgency,5,"Hurry, stock is running low.",0
Act now to secure your deal.,1,Urgency,6,Act now to secure your deal.,0
Final chance ó donít miss out.,1,Urgency,6,Final chance ó donít miss out.,0
Almost gone ó tap to grab now.,1,Urgency,7,Almost gone ó tap to grab now.,0
Limited-time opportunity ó act fast.,1,Urgency,5,Limited-time opportunity ó act fast.,0
Offer disappearing soon ó claim now.,1,Urgency,6,Offer disappearing soon ó claim now.,0
"Hurry, last chance today.",1,Urgency,4,"Hurry, last chance today.",0
Donít miss this limited offer.,1,Urgency,5,Donít miss this limited offer.,0
Secure yours before itís gone.,1,Urgency,5,Secure yours before itís gone.,0
Time-limited deal ó act immediately.,1,Urgency,5,Time-limited deal ó act immediately.,0
Only a few left ó tap now.,1,Urgency,7,Only a few left ó tap now.,0
Final hours ó grab it today.,1,Urgency,6,Final hours ó grab it today.,0
"Hurry, stock wonít last.",1,Urgency,4,"Hurry, stock wonít last.",0
Act quickly before itís gone.,1,Urgency,5,Act quickly before itís gone.,0
Almost sold out ó claim yours.,1,Urgency,6,Almost sold out ó claim yours.,0
Limited supply ó donít wait.,1,Urgency,5,Limited supply ó donít wait.,0
Time is short ó act now.,1,Urgency,6,Time is short ó act now.,0
Offer ends soon ó secure today.,1,Urgency,6,Offer ends soon ó secure today.,0
Only today ó grab it fast.,1,Urgency,6,Only today ó grab it fast.,0
"Hurry, few left in stock.",1,Urgency,5,"Hurry, few left in stock.",0
Act immediately to avoid missing out.,1,Urgency,6,Act immediately to avoid missing out.,0
Last chance ó tap to claim.,1,Urgency,6,Last chance ó tap to claim.,0
Almost gone ó donít delay.,1,Urgency,5,Almost gone ó donít delay.,0
Limited availability ó act now.,1,Urgency,5,Limited availability ó act now.,0
Time-sensitive ó grab yours today.,1,Urgency,5,Time-sensitive ó grab yours today.,0
"Hurry, stock running low.",1,Urgency,4,"Hurry, stock running low.",0
Act fast before itís too late.,1,Urgency,6,Act fast before itís too late.,0
Final opportunity ó secure now.,1,Urgency,5,Final opportunity ó secure now.,0
Only a few left ó order today.,1,Urgency,7,Only a few left ó order today.,0
Donít miss out ó grab it now.,1,Urgency,7,Donít miss out ó grab it now.,0
Act immediately ó limited offer.,1,Urgency,5,Act immediately ó limited offer.,0
"Hurry, sale ending soon.",1,Urgency,4,"Hurry, sale ending soon.",0
Final hours ó claim it fast.,1,Urgency,6,Final hours ó claim it fast.,0
Almost gone ó act quickly.,1,Urgency,5,Almost gone ó act quickly.,0
Limited time ó tap to grab.,1,Urgency,6,Limited time ó tap to grab.,0
Offer expiring today ó act now.,1,Urgency,6,Offer expiring today ó act now.,0
Time is limited ó donít wait.,1,Urgency,6,Time is limited ó donít wait.,0
Secure yours before stock runs out.,1,Urgency,6,Secure yours before stock runs out.,0
Last chance today ó act fast.,1,Urgency,6,Last chance today ó act fast.,0
"Hurry, few remaining ó grab it.",1,Urgency,6,"Hurry, few remaining ó grab it.",0
Act now to avoid missing this deal.,1,Urgency,7,Act now to avoid missing this deal.,0
Time-sensitive deal ó donít delay.,1,Urgency,5,Time-sensitive deal ó donít delay.,0
Almost gone ó tap to claim.,1,Urgency,6,Almost gone ó tap to claim.,0
Final opportunity ó grab yours now.,1,Urgency,6,Final opportunity ó grab yours now.,0
Act fast ó only a few left.,1,Urgency,7,Act fast ó only a few left.,0
Donít wait ó secure yours today.,1,Urgency,6,Donít wait ó secure yours today.,0
Limited stock ó act immediately.,1,Urgency,5,Limited stock ó act immediately.,0
Offer ending soon ó tap now.,1,Urgency,6,Offer ending soon ó tap now.,0
Almost sold out ó act fast.,1,Urgency,6,Almost sold out ó act fast.,0
"Hurry, last chance to grab it.",1,Urgency,6,"Hurry, last chance to grab it.",0
Time-limited offer ó donít miss out.,1,Urgency,6,Time-limited offer ó donít miss out.,0
Act now before it disappears.,1,Urgency,5,Act now before it disappears.,0
Final hours ó claim yours today.,1,Urgency,6,Final hours ó claim yours today.,0
Limited supply ó grab it fast.,1,Urgency,6,Limited supply ó grab it fast.,0
"Hurry, stock is almost gone.",1,Urgency,5,"Hurry, stock is almost gone.",0
Act quickly ó offer ending soon.,1,Urgency,6,Act quickly ó offer ending soon.,0
Last chance ó secure yours now.,1,Urgency,6,Last chance ó secure yours now.,0
Almost gone ó order today.,1,Urgency,5,Almost gone ó order today.,0
Time-sensitive ó donít wait.,1,Urgency,4,Time-sensitive ó donít wait.,0
Limited availability ó act immediately.,1,Urgency,5,Limited availability ó act immediately.,0
"Hurry, few left ó grab now.",1,Urgency,6,"Hurry, few left ó grab now.",0
Act fast ó final opportunity.,1,Urgency,5,Act fast ó final opportunity.,0
Donít miss your chance ó tap now.,1,Urgency,7,Donít miss your chance ó tap now.,0
Almost sold out ó claim yours fast.,1,Urgency,7,Almost sold out ó claim yours fast.,0
Final hours ó act today.,1,Urgency,5,Final hours ó act today.,0
Limited offer ó secure it now.,1,Urgency,6,Limited offer ó secure it now.,0
"Hurry, sale ending in hours.",1,Urgency,5,"Hurry, sale ending in hours.",0
Act quickly ó only a few left.,1,Urgency,7,Act quickly ó only a few left.,0
Time is running out ó grab yours.,1,Urgency,7,Time is running out ó grab yours.,0
Last chance today ó donít delay.,1,Urgency,6,Last chance today ó donít delay.,0
Almost gone ó tap to order.,1,Urgency,6,Almost gone ó tap to order.,0
Limited stock ó act fast.,1,Urgency,5,Limited stock ó act fast.,0
"Hurry, few remaining ó claim now.",1,Urgency,6,"Hurry, few remaining ó claim now.",0
Act immediately ó offer ending soon.,1,Urgency,6,Act immediately ó offer ending soon.,0
Final opportunity ó grab it today.,1,Urgency,6,Final opportunity ó grab it today.,0
Donít wait ó last chance.,1,Urgency,5,Donít wait ó last chance.,0
Almost sold out ó act now.,1,Urgency,6,Almost sold out ó act now.,0
Time-sensitive deal ó grab it fast.,1,Urgency,6,Time-sensitive deal ó grab it fast.,0
"Hurry, offer ending soon.",1,Urgency,4,"Hurry, offer ending soon.",0
Act fast ó limited stock.,1,Urgency,5,Act fast ó limited stock.,0
Final hours ó secure yours now.,1,Urgency,6,Final hours ó secure yours now.,0
Almost gone ó donít miss out.,1,Urgency,6,Almost gone ó donít miss out.,0
Limited availability ó act today.,1,Urgency,5,Limited availability ó act today.,0
"Hurry, few left ó tap to claim.",1,Urgency,7,"Hurry, few left ó tap to claim.",0
Act immediately ó only a few remaining.,1,Urgency,7,Act immediately ó only a few remaining.,0
Time-limited offer ó grab it now.,1,Urgency,6,Time-limited offer ó grab it now.,0
Last chance ó act quickly.,1,Urgency,5,Last chance ó act quickly.,0
Almost sold out ó secure today.,1,Urgency,6,Almost sold out ó secure today.,0
"Hurry, stock running low ó act fast.",1,Urgency,7,"Hurry, stock running low ó act fast.",0
Act now to claim yours.,1,Urgency,5,Act now to claim yours.,0
Final hours ó donít wait.,1,Urgency,5,Final hours ó donít wait.,0
Limited supply ó grab it today.,1,Urgency,6,Limited supply ó grab it today.,0
Time-sensitive ó act immediately.,1,Urgency,4,Time-sensitive ó act immediately.,0
Almost gone ó order fast.,1,Urgency,5,Almost gone ó order fast.,0
"Hurry, few remaining ó act now.",1,Urgency,6,"Hurry, few remaining ó act now.",0
Act fast ó final opportunity today.,1,Urgency,6,Act fast ó final opportunity today.,0
Donít miss out ó tap to grab.,1,Urgency,7,Donít miss out ó tap to grab.,0
Last chance ó claim it quickly.,1,Urgency,6,Last chance ó claim it quickly.,0
Almost sold out ó grab now.,1,Urgency,6,Almost sold out ó grab now.,0
Limited offer ó act today.,1,Urgency,5,Limited offer ó act today.,0
"Hurry, stock ending soon.",1,Urgency,4,"Hurry, stock ending soon.",0
Act immediately ó secure yours.,1,Urgency,5,Act immediately ó secure yours.,0
Time is short ó act fast.,1,Urgency,6,Time is short ó act fast.,0
Almost gone ó claim yours immediately.,1,Urgency,6,Almost gone ó claim yours immediately.,0
Limited availability ó tap now.,1,Urgency,5,Limited availability ó tap now.,0
"Hurry, few left ó act today.",1,Urgency,6,"Hurry, few left ó act today.",0
Act fast ó offer ending soon.,1,Urgency,6,Act fast ó offer ending soon.,0
Last chance ó donít delay.,1,Urgency,5,Last chance ó donít delay.,0
Almost sold out ó grab it fast.,1,Urgency,7,Almost sold out ó grab it fast.,0
Time-sensitive deal ó act now.,1,Urgency,5,Time-sensitive deal ó act now.,0
"Hurry, sale ends today.",1,Urgency,4,"Hurry, sale ends today.",0
Act immediately ó limited stock available.,1,Urgency,6,Act immediately ó limited stock available.,0
Final opportunity ó claim yours today.,1,Urgency,6,Final opportunity ó claim yours today.,0
Limited supply ó grab it now.,1,Urgency,6,Limited supply ó grab it now.,0
"Hurry, few remaining ó tap to claim.",1,Urgency,7,"Hurry, few remaining ó tap to claim.",0
Act fast ó last chance today.,1,Urgency,6,Act fast ó last chance today.,0
Donít wait ó secure yours immediately.,1,Urgency,6,Donít wait ó secure yours immediately.,0
Final hours ó act quickly.,1,Urgency,5,Final hours ó act quickly.,0
Almost sold out ó grab it today.,1,Urgency,7,Almost sold out ó grab it today.,0
Limited-time offer ó act now.,1,Urgency,5,Limited-time offer ó act now.,0
"Hurry, stock is running out.",1,Urgency,5,"Hurry, stock is running out.",0
Act immediately ó only a few left.,1,Urgency,7,Act immediately ó only a few left.,0
Last chance ó tap to grab now.,1,Urgency,7,Last chance ó tap to grab now.,0
Almost gone ó act today.,1,Urgency,5,Almost gone ó act today.,0
Time-sensitive ó grab yours fast.,1,Urgency,5,Time-sensitive ó grab yours fast.,0
"Hurry, few left ó claim it today.",1,Urgency,7,"Hurry, few left ó claim it today.",0
Act fast ó final opportunity available.,1,Urgency,6,Act fast ó final opportunity available.,0
Donít miss out ó tap now.,1,Urgency,6,Donít miss out ó tap now.,0
Almost sold out ó grab yours immediately.,1,Urgency,7,Almost sold out ó grab yours immediately.,0
FLASH SALE | LIMITED TIME ONLY Shop Now,1,Urgency,8,FLASH SALE | LIMITED TIME ONLY Shop Now,0
Pillowcases & Shams,0,Not Dark Pattern,3,Pillowcases & Shams,0
Write a review,0,Not Dark Pattern,3,Write a review,0
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",0,Not Dark Pattern,37,"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",0
 newsletter signup (privacy policy) ,0,Not Dark Pattern,4,newsletter signup (privacy policy),0
In demand,1,Scarcity,2,In demand,0
"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",0,Not Dark Pattern,34,"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",0
Hurry! Only 2 left in stock,1,Scarcity,6,Hurry! Only 2 left in stock,0
In Stock only 3 left,1,Scarcity,5,In Stock only 3 left,0
International Shipping Policy,0,Not Dark Pattern,3,International Shipping Policy,0
"Clothes, Shoes & Accessories",0,Not Dark Pattern,4,"Clothes, Shoes & Accessories",0
Hurry! Only 2 left,1,Scarcity,4,Hurry! Only 2 left,0
Primary Arms Scopes,0,Not Dark Pattern,3,Primary Arms Scopes,0
ONLY 8 LEFT,1,Scarcity,3,ONLY 8 LEFT,0
MoTrail,0,Not Dark Pattern,1,MoTrail,0
LCD Ribbon Cables,0,Not Dark Pattern,3,LCD Ribbon Cables,0
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,0,Not Dark Pattern,7,READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,0
OUR BEST SELLING GOGGLE,1,Misdirection,4,OUR BEST SELLING GOGGLE,0
"1,142 people have added to cart recently",1,Social Proof,7,"1,142 people have added to cart recently",0
Limited Availability,1,Scarcity,2,Limited Availability,0
No thanks. I don't like free things...,1,Misdirection,7,No thanks. I don't like free things...,0
 read you will want to read -- Five Book Group Favourites * Sunday Post *,0,Not Dark Pattern,15,read you will want to read -- Five Book Group Favourites * Sunday Post *,0
 Supply & Demand ,0,Not Dark Pattern,3,Supply & Demand,0
"Michael in Pontiac, United States purchased a  ",1,Social Proof,7,"Michael in Pontiac, United States purchased a",0
Bathroom Lighting,0,Not Dark Pattern,2,Bathroom Lighting,0
 Shop Optics > ,0,Not Dark Pattern,3,Shop Optics >,0
9 people are viewing this.,1,Social Proof,5,9 people are viewing this.,0
"894 Claimed! Hurry, only a few left!",1,Scarcity,7,"894 Claimed! Hurry, only a few left!",0
77 PEOPLE LIKE THIS,1,Social Proof,4,77 PEOPLE LIKE THIS,0
Girls Trousers,0,Not Dark Pattern,2,Girls Trousers,0
Specs,0,Not Dark Pattern,1,Specs,0
4 items left,1,Scarcity,3,4 items left,0
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,1,Urgency,10,HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,0
Offer ends in,1,Urgency,3,Offer ends in,0
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",1,Social Proof,11,"Another babe in Alexandria, United States just ordered Flat Tummy Tea",0
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,1,Social Proof,17,Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,0
More Info,0,Not Dark Pattern,2,More Info,0
Daystate FAC Air Rifles,0,Not Dark Pattern,4,Daystate FAC Air Rifles,0
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as ‚ÄúM‚Äù (menus), ‚ÄúH‚Äù (headings), ‚ÄúF‚Äù (forms), ‚ÄúB‚Äù (buttons), and ‚ÄúG‚Äù (graphics) to jump to specific elements.",0,Not Dark Pattern,45,"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as ‚ÄúM‚Äù (menus), ‚ÄúH‚Äù (headings), ‚ÄúF‚Äù (forms), ‚ÄúB‚Äù (buttons), and ‚ÄúG‚Äù (graphics) to jump to specific elements.",0
24 sold in last 24 hours.,1,Social Proof,6,24 sold in last 24 hours.,0
 #CERTIFIED_FACE_MASKS ,0,Not Dark Pattern,1,#CERTIFIED_FACE_MASKS,0
Shop the Look,0,Not Dark Pattern,3,Shop the Look,0
Kicks Remotes,0,Not Dark Pattern,2,Kicks Remotes,0
Only 7 left in stock.,1,Scarcity,5,Only 7 left in stock.,0
Whey Protein Isolate,0,Not Dark Pattern,3,Whey Protein Isolate,0
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,0,Not Dark Pattern,10,Cases for Magsafe Refine by Product Type: Cases for Magsafe,0
Product Info,0,Not Dark Pattern,2,Product Info,0
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,1,Social Proof,14,Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,0
 Sign In With Google ,0,Not Dark Pattern,4,Sign In With Google,0
Shop All,0,Not Dark Pattern,2,Shop All,0
 You can change your preference here Shop for Select an age ,0,Not Dark Pattern,11,You can change your preference here Shop for Select an age,0
1 in Stock,1,Scarcity,3,1 in Stock,0
 shop all ,0,Not Dark Pattern,2,shop all,0
Low Stock Alert: Only 8 left in inventory,1,Scarcity,8,Low Stock Alert: Only 8 left in inventory,0
Womens Platform Shoes,0,Not Dark Pattern,3,Womens Platform Shoes,0
Screen print graphics,0,Not Dark Pattern,3,Screen print graphics,0
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",1,Social Proof,15,"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",0
Thin and tough - protects from minor scratches,0,Not Dark Pattern,8,Thin and tough - protects from minor scratches,0
Kimberly R.,0,Not Dark Pattern,2,Kimberly R.,0
I don't feel lucky,1,Misdirection,4,I don't feel lucky,0
Only 3 items left,1,Scarcity,4,Only 3 items left,0
 Butterscotch Cakes ,0,Not Dark Pattern,2,Butterscotch Cakes,0
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",1,Social Proof,11,"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",0
Awntech New Yorker Window/Entry Slope Awnin ...,0,Not Dark Pattern,7,Awntech New Yorker Window/Entry Slope Awnin ...,0
45 ADDED TO BAG IN THE PAST 24 HOURS,1,Social Proof,9,45 ADDED TO BAG IN THE PAST 24 HOURS,0
87% offers claimed. Hurry up!,1,Scarcity,5,87% offers claimed. Hurry up!,0
HURRY! ¬£32.99 UK DELIVERY ENDS SOON,1,Urgency,6,HURRY! ¬£32.99 UK DELIVERY ENDS SOON,0
ONLY 3 LEFT,1,Scarcity,3,ONLY 3 LEFT,0
8 items left,1,Scarcity,3,8 items left,0
19 people viewed this product per day,1,Social Proof,7,19 people viewed this product per day,0
 Irwin ,0,Not Dark Pattern,1,Irwin,0
96 ITEM(S) LEFT IN STOCK!,1,Scarcity,5,96 ITEM(S) LEFT IN STOCK!,0
__________,0,Not Dark Pattern,1,__________,0
Only 1 left In Stock,1,Scarcity,5,Only 1 left In Stock,0
Availability: Only 4 Left!,1,Scarcity,4,Availability: Only 4 Left!,0
 Personalised Gifts ,0,Not Dark Pattern,2,Personalised Gifts,0
A customer service specialist will contact you soon.,0,Not Dark Pattern,8,A customer service specialist will contact you soon.,0
Your order is reserved for 09:54 minutes!,1,Urgency,7,Your order is reserved for 09:54 minutes!,0
 Screws & Other Fixings ,0,Not Dark Pattern,4,Screws & Other Fixings,0
Use the domain shortly after payment,0,Not Dark Pattern,6,Use the domain shortly after payment,0
Office Supplies & Decor,0,Not Dark Pattern,4,Office Supplies & Decor,0
This size has only 1 left in stock,1,Scarcity,8,This size has only 1 left in stock,0
Arrow,0,Not Dark Pattern,1,Arrow,0
Returns an Item,0,Not Dark Pattern,3,Returns an Item,0
HOT PRODUCT Over 250 people are looking at this item.,1,Social Proof,10,HOT PRODUCT Over 250 people are looking at this item.,0
I don't want to save money,1,Misdirection,6,I don't want to save money,0
HURRY! ONLY 2 LEFT IN STOCK!,1,Scarcity,6,HURRY! ONLY 2 LEFT IN STOCK!,0
Hair type: Curly,0,Not Dark Pattern,3,Hair type: Curly,0
DEAL ENDS IN 40:55:13,1,Urgency,4,DEAL ENDS IN 40:55:13,0
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,1,Social Proof,8,Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,0
Only 1 Left,1,Scarcity,3,Only 1 Left,0
Search for similiar products,0,Not Dark Pattern,4,Search for similiar products,0
Only 33 left,1,Scarcity,3,Only 33 left,0
FAMILY SHADE PACK | PICK YOUR PACK,0,Not Dark Pattern,7,FAMILY SHADE PACK | PICK YOUR PACK,0
Promaster City Remotes,0,Not Dark Pattern,3,Promaster City Remotes,0
"Hurry, only a few left!",1,Scarcity,5,"Hurry, only a few left!",0
 V&A Collection People Tree‚Äôs collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,0,Not Dark Pattern,33,V&A Collection People Tree‚Äôs collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for.,0
Only 11 left!,1,Scarcity,3,Only 11 left!,0
Hurry! Only 6 left in stock,1,Scarcity,6,Hurry! Only 6 left in stock,0
40 users are currently active on our website just now.,1,Social Proof,10,40 users are currently active on our website just now.,0
Hair Tools,0,Not Dark Pattern,2,Hair Tools,0
Email Address*,0,Not Dark Pattern,2,Email Address*,0
 Send Us Your Jersey ,0,Not Dark Pattern,4,Send Us Your Jersey,0
 View All Home Office Furniture ,0,Not Dark Pattern,5,View All Home Office Furniture,0
Search Result:Search Results: ,0,Not Dark Pattern,3,Search Result:Search Results:,0
90% offers claimed. Hurry up!,1,Scarcity,5,90% offers claimed. Hurry up!,0
Tube Tops,0,Not Dark Pattern,2,Tube Tops,0
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",1,Social Proof,12,"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",0
Hair type: Wavy,0,Not Dark Pattern,3,Hair type: Wavy,0
7 people looked at this product in the last 24 hours.,1,Social Proof,11,7 people looked at this product in the last 24 hours.,0
Glow Gear,0,Not Dark Pattern,2,Glow Gear,0
18 In Stock,1,Scarcity,3,18 In Stock,0
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,1,Social Proof,17,Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,0
00:15:07:45,1,Urgency,1,00:15:07:45,0
"No, I'll rather pay full price.",1,Misdirection,6,"No, I'll rather pay full price.",0
Only 9 Left.,1,Scarcity,3,Only 9 Left.,0
Deals of the Week,0,Not Dark Pattern,4,Deals of the Week,0
" ... It covers love and loss, friendship and pain through ",0,Not Dark Pattern,10,"... It covers love and loss, friendship and pain through",0
1 person is viewing this,1,Social Proof,5,1 person is viewing this,0
Your order is reserved for 09:14 minutes!,1,Urgency,7,Your order is reserved for 09:14 minutes!,0
" Gift TypeFlowers, Cakes, Plants, etc. ",0,Not Dark Pattern,5,"Gift TypeFlowers, Cakes, Plants, etc.",0
 CAMILLA World ,0,Not Dark Pattern,2,CAMILLA World,0
Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,0,Not Dark Pattern,12,Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,0
Fun Treat Tossing,0,Not Dark Pattern,3,Fun Treat Tossing,0
Limited time remaining!,1,Urgency,3,Limited time remaining!,0
"No thanks, I'll pay full price",1,Misdirection,6,"No thanks, I'll pay full price",0
Your shopping bag is empty...,0,Not Dark Pattern,5,Your shopping bag is empty...,0
Trousers & Chinos,0,Not Dark Pattern,3,Trousers & Chinos,0
Only 7 left in stock!,1,Scarcity,5,Only 7 left in stock!,0
Only 5 item(s) left.,1,Scarcity,4,Only 5 item(s) left.,0
 Chargers ,0,Not Dark Pattern,1,Chargers,0
(only 5 left),1,Scarcity,3,(only 5 left),0
 Eyelashes ,0,Not Dark Pattern,1,Eyelashes,0
Pick the price that matches your budget. ,0,Not Dark Pattern,7,Pick the price that matches your budget.,0
"Bringing the latest footwear, ‚Äòfits and accessories from the biggest brands, the JD app makes coppin‚Äô the hottest looks even easier!",0,Not Dark Pattern,21,"Bringing the latest footwear, ‚Äòfits and accessories from the biggest brands, the JD app makes coppin‚Äô the hottest looks even easier!",0
Child Safety,0,Not Dark Pattern,2,Child Safety,0
 Cosmic Rainbow ,0,Not Dark Pattern,2,Cosmic Rainbow,0
NRA Annual Meetings & Exhibits,0,Not Dark Pattern,5,NRA Annual Meetings & Exhibits,0
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,0,Not Dark Pattern,11,ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,0
 Moonstone Beads ,0,Not Dark Pattern,2,Moonstone Beads,0
I'll Shop Without A Discount,1,Misdirection,5,I'll Shop Without A Discount,0
Only 11 Left In Stock,1,Scarcity,5,Only 11 Left In Stock,0
 Netherlands Antilles USD,0,Not Dark Pattern,3,Netherlands Antilles USD,0
Was this product description useful?YesNo,0,Not Dark Pattern,5,Was this product description useful?YesNo,0
Returns Information,0,Not Dark Pattern,2,Returns Information,0
TiesToys & GamesTravelWatches,0,Not Dark Pattern,3,TiesToys & GamesTravelWatches,0
Bought by 39 people in last few hours! HOT SELLER!,1,Social Proof,10,Bought by 39 people in last few hours! HOT SELLER!,0
Books and Stationery,0,Not Dark Pattern,3,Books and Stationery,0
Your order is reserved for 08:48 minutes!,1,Urgency,7,Your order is reserved for 08:48 minutes!,0
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,1,Urgency,9,11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,0
 Bioactive Custodians ,0,Not Dark Pattern,2,Bioactive Custodians,0
 Most-Hearted Styles Shop Now ,0,Not Dark Pattern,4,Most-Hearted Styles Shop Now,0
 Use a clean vase and clean water.,0,Not Dark Pattern,7,Use a clean vase and clean water.,0
" well, this is awkward. ",0,Not Dark Pattern,4,"well, this is awkward.",0
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done üëè,0,Not Dark Pattern,14,@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done üëè,0
 All¬†Licensed ,0,Not Dark Pattern,1,All¬†Licensed,0
Nursing chairs,0,Not Dark Pattern,2,Nursing chairs,0
Only 1 Item(s) left,1,Scarcity,4,Only 1 Item(s) left,0
Discount pending $10 OFF 00:30:00,1,Urgency,5,Discount pending $10 OFF 00:30:00,0
Juniors' Shoes,0,Not Dark Pattern,2,Juniors' Shoes,0
Limited Time: $10 Off! Discount Reflected In Price!,1,Urgency,8,Limited Time: $10 Off! Discount Reflected In Price!,0
Switchers,0,Not Dark Pattern,1,Switchers,0
 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,0,Not Dark Pattern,5,Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy,0
Ribbons,0,Not Dark Pattern,1,Ribbons,0
